"id",name,alternativeNames,municipio,departamentoId,departamento,latitud,longitud
"15087",Belén - Boyacá,,Belén,15,Boyacá,6.0833333,-72.9166667
"15090",Berbeo - Boyacá,,Berbeo,15,Boyacá,5.3333333,-73
"15092",Beteitiva - Boyacá,,Beteitiva,15,Boyacá,6,-72.8333333
"15097",Boavita - Boyacá,,Boavita,15,Boyacá,6.4166667,-72.5833333
"15104",Boyacá - Boyacá,,Boyacá,15,Boyacá,5.5,-72.5
"15106",Briceño - Boyacá,,Briceño,15,Boyacá,5.75,-73.8333333
"15109",Buenavista - Boyacá,,Buenavista,15,Boyacá,5.5,-73.9666667
"15114",Busbanza - Boyacá,,Busbanza,15,Boyacá,5.9166667,-72.85
"15131",Caldas - Boyacá,,Caldas,15,Boyacá,5.55,-73.8833333
"15135",Campohermoso - Boyacá,,Campohermoso,15,Boyacá,5.0833333,-73
"15162",Cerinza - Boyacá,,Cerinza,15,Boyacá,6,-72.9166667
"15172",Chinavita - Boyacá,,Chinavita,15,Boyacá,5.25,-73.3333333
"15176",Chiquinquirá - Boyacá,,Chiquinquirá,15,Boyacá,5.6333333,-73.75
"15180",Chiscas - Boyacá,,Chiscas,15,Boyacá,6.75,-72.3333333
"15183",Chita - Boyacá,,Chita,15,Boyacá,6.1666667,-72.4166667
"15185",Chitaraque - Boyacá,,Chitaraque,15,Boyacá,6.0833333,-73.3666667
"15187",Chivatá - Boyacá,,Chivatá,15,Boyacá,5.5333333,-73.2666667
"15232",Chíquiza - Boyacá,,Chíquiza,15,Boyacá,5.6083333,-73.4886111
"15236",Chívor - Boyacá,,Chívor,15,Boyacá,4.8855556,-73.3688889
"15189",Ciénaga - Boyacá,,Ciénaga,15,Boyacá,5.4666667,-73.25
"15212",Coper - Boyacá,,Coper,15,Boyacá,5.4333333,-74.0333333
"15215",Corrales - Boyacá,,Corrales,15,Boyacá,5.8666667,-72.8333333
"15218",Covarachía - Boyacá,,Covarachía,15,Boyacá,6.5833333,-72.7
"15223",Cubará - Boyacá,,Cubará,15,Boyacá,7.0411111,-72.0608333
"15224",Cucaita - Boyacá,,Cucaita,15,Boyacá,5.5333333,-73.4666667
"15226",Cuitiva - Boyacá,,Cuitiva,15,Boyacá,5.65,-72.9166667
"15204",Cómbita - Boyacá,,Cómbita,15,Boyacá,5.75,-73.25
"15238",Duitama - Boyacá,,Duitama,15,Boyacá,5.8269444,-73.0202778
"15244",El Cocuy - Boyacá,,El Cocuy,15,Boyacá,6.4166667,-72.4166667
"15248",El Espino - Boyacá,,El Espino,15,Boyacá,6.5833333,-72.4166667
"15272",Firavitoba - Boyacá,,Firavitoba,15,Boyacá,5.75,-72.9666667
"15276",Floresta - Boyacá,,Floresta,15,Boyacá,5.9166667,-72.9166667
"15293",Gachantivá - Boyacá,,Gachantivá,15,Boyacá,5.75,-73.5
"15299",Garagoa - Boyacá,,Garagoa,15,Boyacá,5.1333333,-73.3
"15317",Guacamayas - Boyacá,,Guacamayas,15,Boyacá,6.5,-72.5
"15322",Guateque - Boyacá,,Guateque,15,Boyacá,5.0833333,-73.5
"15325",Guayatá - Boyacá,,Guayatá,15,Boyacá,5,-73.5
"15332",Guicán - Boyacá,,Guicán,15,Boyacá,6.75,-72.1666667
"15296",Gámeza - Boyacá,,Gámeza,15,Boyacá,5.85,-72.75
"15362",Izá - Boyacá,,Izá,15,Boyacá,5.6666667,-72.9166667
"15367",Jenesano - Boyacá,,Jenesano,15,Boyacá,5.3888889,-73.3680556
"15368",Jericó - Boyacá,,Jericó,15,Boyacá,6.2,-72.5833333
"15380",La Capilla - Boyacá,,La Capilla,15,Boyacá,5.15,-73.45
"15403",La Uvita - Boyacá,,La Uvita,15,Boyacá,6.3333333,-72.5
"15401",La Victoria - Boyacá,,La Victoria,15,Boyacá,5.5258333,-74.2361111
"15377",Labranzagrande - Boyacá,,Labranzagrande,15,Boyacá,5.5833333,-72.5833333
"15425",Macanal - Boyacá,,Macanal,15,Boyacá,4.9166667,-73.25
"15442",Maripí - Boyacá,,Maripí,15,Boyacá,5.5833333,-74
"15455",Miraflores - Boyacá,,Miraflores,15,Boyacá,5.25,-73.1666667
"15464",Mongua - Boyacá,,Mongua,15,Boyacá,5.8333333,-72.6666667
"15466",Monguí - Boyacá,,Monguí,15,Boyacá,5.75,-72.8333333
"15469",Moniquirá - Boyacá,,Moniquirá,15,Boyacá,5.9166667,-73.5
"15476",Motavita - Boyacá,,Motavita,15,Boyacá,5.5797222,-73.3713889
"15480",Muzo - Boyacá,,Muzo,15,Boyacá,5.5166667,-74.1166667
"15491",Nobsa - Boyacá,,Nobsa,15,Boyacá,5.8333333,-72.9166667
"15494",Nuevo Colón - Boyacá,,Nuevo Colón,15,Boyacá,5.4166667,-73.4166667
"15500",Oicatá - Boyacá,,Oicatá,15,Boyacá,5.6,-73.3166667
"15507",Otanche - Boyacá,,Otanche,15,Boyacá,5.75,-74.25
"15511",Pachavita - Boyacá,,Pachavita,15,Boyacá,5.1333333,-73.4
"15516",Paipa - Boyacá,,Paipa,15,Boyacá,5.8333333,-73.1
"15518",Pajarito - Boyacá,,Pajarito,15,Boyacá,5.4166667,-72.6666667
"15522",Panqueba - Boyacá,,Panqueba,15,Boyacá,6.5,-72.4166667
"15531",Pauna - Boyacá,,Pauna,15,Boyacá,5.75,-73.9166667
"15532",Paya - Boyacá,,Paya,15,Boyacá,5.6666667,-72.3816667
"15537",Paz de Río - Boyacá,,Paz de Río,15,Boyacá,6.0833333,-72.75
"15542",Pesca - Boyacá,,Pesca,15,Boyacá,5.5833333,-73.05
"15550",Pisva - Boyacá,,Pisva,15,Boyacá,5.7427778,-72.4894444
"15572",Puerto Boyacá - Boyacá,,Puerto Boyacá,15,Boyacá,5.9780556,-74.5897222
"15514",Páez - Boyacá,,Páez,15,Boyacá,5.1044444,-73.0555556
"15580",Quipama - Boyacá,,Quipama,15,Boyacá,5.5222222,-74.1808333
"15599",Ramiriquí - Boyacá,,Ramiriquí,15,Boyacá,5.4166667,-73.3333333
"15621",Rondón - Boyacá,,Rondón,15,Boyacá,5.4166667,-73.1666667
"15600",Ráquira - Boyacá,,Ráquira,15,Boyacá,5.6166667,-73.6333333
"15632",Saboyá - Boyacá,,Saboyá,15,Boyacá,5.75,-73.7
"15646",Samacá - Boyacá,,Samacá,15,Boyacá,5.5,-73.5
"15660",San Eduardo - Boyacá,,San Eduardo,15,Boyacá,5.2166667,-73.1333333
"15664",San José de Pare - Boyacá,,San José de Pare,15,Boyacá,6.0833333,-73.4666667
"15667",San Luís de Gaceno - Boyacá,,San Luís de Gaceno,15,Boyacá,4.8213889,-73.1675
"15673",San Mateo - Boyacá,,San Mateo,15,Boyacá,6.5,-72.5
"15676",San Miguel de Sema - Boyacá,,San Miguel de Sema,15,Boyacá,5.55,-73.75
"15681",San Pablo de Borbur - Boyacá,,San Pablo de Borbur,15,Boyacá,5.75,-74.0833333
"15690",Santa María - Boyacá,,Santa María,15,Boyacá,4.8616667,-73.2641667
"15693",Santa Rosa de Viterbo - Boyacá,,Santa Rosa de Viterbo,15,Boyacá,5.9166667,-73
"15696",Santa Sofía - Boyacá,,Santa Sofía,15,Boyacá,5.75,-73.5833333
"15686",Santana - Boyacá,,Santana,15,Boyacá,6.0572222,-73.4822222
"15720",Sativanorte - Boyacá,,Sativanorte,15,Boyacá,6.1666667,-72.6666667
"15723",Sativasur - Boyacá,,Sativasur,15,Boyacá,6.1333333,-72.6666667
"15740",Siachoque - Boyacá,,Siachoque,15,Boyacá,5.5833333,-73.1666667
"15753",Soatá - Boyacá,,Soatá,15,Boyacá,6.4166667,-72.6666667
"15757",Socha - Boyacá,,Socha,15,Boyacá,6,-72.6666667
"15755",Socotá - Boyacá,,Socotá,15,Boyacá,6.0833333,-72.5833333
"15759",Sogamoso - Boyacá,,Sogamoso,15,Boyacá,5.7205556,-72.9297222
"15761",Somondoco - Boyacá,,Somondoco,15,Boyacá,4.9877778,-73.4361111
"15762",Sora - Boyacá,,Sora,15,Boyacá,5.5666667,-73.4333333
"15764",Soracá - Boyacá,,Soracá,15,Boyacá,5.5,-73.3166667
"15763",Sotaquirá - Boyacá,,Sotaquirá,15,Boyacá,5.8333333,-73.25
"15774",Susacón - Boyacá,,Susacón,15,Boyacá,6.2666667,-72.6666667
"15776",Sutamarchán - Boyacá,,Sutamarchán,15,Boyacá,5.6666667,-73.5833333
"15778",Sutatenza - Boyacá,,Sutatenza,15,Boyacá,5.0166667,-73.45
"15638",Sáchica - Boyacá,,Sáchica,15,Boyacá,5.6666667,-73.5
"15790",Tasco - Boyacá,,Tasco,15,Boyacá,5.9166667,-72.7
"15798",Tenza - Boyacá,,Tenza,15,Boyacá,5.15,-73.45
"15804",Tibaná - Boyacá,,Tibaná,15,Boyacá,5.3333333,-73.3833333
"15806",Tibasosa - Boyacá,,Tibasosa,15,Boyacá,5.8333333,-72.9666667
"15808",Tinjacá - Boyacá,,Tinjacá,15,Boyacá,5.6333333,-73.65
"15810",Tipacoque - Boyacá,,Tipacoque,15,Boyacá,6.4233333,-72.6952778
"15814",Toca - Boyacá,,Toca,15,Boyacá,5.6666667,-73.1666667
"15816",Toguí - Boyacá,,Toguí,15,Boyacá,5.95,-73.4166667
