id,name,alternativeNames,municipio,departamentoId,departamento,lat,lon
"13458",Montecristo - Bolívar,,Montecristo,13,Bolívar,8.2994444,-74.4755556
"05665",San Pedro de Urabá - Antioquia,,San Pedro de Urabá,5,Antioquia,8.2761111,-76.3786111
"23500",Moñitos - Córdoba,,Moñitos,23,Córdoba,8.25,-76.05
"23068",Ayapel - Córdoba,,Ayapel,23,Córdoba,8.25,-75.25
"13006",Achí - Bolívar,,Achí,13,Bolívar,8.25,-74.5
"54498",Ocaña - Norte de Santander,,Ocaña,54,Norte de Santander,8.25,-73.3
"54398",La Playa - Norte de Santander,,La Playa,54,Norte de Santander,8.25,-73.1666667
"54720",Sardinata - Norte de Santander,,Sardinata,54,Norte de Santander,8.25,-72.75
"23570",Pueblo Nuevo - Córdoba,,Pueblo Nuevo,23,Córdoba,8.2333333,-74.9666667
"23807",Tierralta - Córdoba,,Tierralta,23,Córdoba,8.1736111,-76.0591667
"54385",La Esperanza - Norte de Santander,,La Esperanza,54,Norte de Santander,8.1666667,-72.4666667
"05495",Nechí - Antioquia,,Nechí,5,Antioquia,8.0963889,-74.7758333
"54109",Bucarasica - Norte de Santander,,Bucarasica,54,Norte de Santander,8.0833333,-73
"23350",La Apartada y La Frontera - Córdoba,,La Apartada y La Frontera,23,Córdoba,8.05,-75.335556
"27800",Unguía - Chocó,,Unguía,27,Chocó,8.0430556,-77.0961111
"20770",San Martín - Cesar,,San Martín,20,Cesar,8.0047222,-73.5152778
"05837",Turbo - Antioquia,,Turbo,5,Antioquia,8,-76.5833333
"20614",Río de oro - Cesar,,Río de oro,20,Cesar,8,-73.5
"54003",Ábrego - Norte de Santander,,Ábrego,54,Norte de Santander,8,-73.2
"54418",Lourdes - Norte de Santander,,Lourdes,54,Norte de Santander,7.9666667,-72.8333333
"13688",Santa Rosa del Sur - Bolívar,,Santa Rosa del Sur,13,Bolívar,7.9644444,-74.0544444
"54261",El Zulia - Norte de Santander,,El Zulia,54,Norte de Santander,7.9355556,-72.605
"54871",Villa Caro - Norte de Santander,,Villa Caro,54,Norte de Santander,7.9169444,-72.9763889
"05154",Caucasia - Antioquia,,Caucasia,5,Antioquia,7.9166667,-75
"54313",Gramalote - Norte de Santander,,Gramalote,54,Norte de Santander,7.9166667,-72.75
"54680",Santiago - Norte de Santander,,Santiago,54,Norte de Santander,7.9166667,-72.6666667
"05045",Apartadó - Antioquia,,Apartadó,5,Antioquia,7.8855556,-76.6347222
"54673",San Cayetano - Norte de Santander,,San Cayetano,54,Norte de Santander,7.8833333,-72.5833333
"54001",Cúcuta - Norte de Santander,,Cúcuta,54,Norte de Santander,7.8833333,-72.5052778
"54405",Los Patios - Norte de Santander,,Los Patios,54,Norte de Santander,7.8383333,-72.5133333
"54874",Villa del Rosario - Norte de Santander,,Villa del Rosario,54,Norte de Santander,7.8338889,-72.4741667
"54660",Salazar - Norte de Santander,,Salazar,54,Norte de Santander,7.8,-72.8333333
"19533",Piamonte - Cauca,,Piamonte,19,Cauca,7.7833333,-75.2
"05147",Carepa - Antioquia,,Carepa,5,Antioquia,7.7663889,-76.6611111
"20710",San Alberto - Cesar,,San Alberto,20,Cesar,7.7525,-73.3891667
"23466",Montelíbano - Córdoba,,Montelíbano,23,Córdoba,7.75,-75.6666667
